Date,PCE_Release
12/1/99,20000131
1/1/00,20000228
2/1/00,20000331
3/1/00,20000428
4/1/00,20000526
5/1/00,20000630
6/1/00,20000725
7/1/00,20000828
8/1/00,20000929
9/1/00,20001030
10/1/00,20001130
11/1/00,20001222
12/1/00,20010201
1/1/01,20010301
2/1/01,20010330
3/1/01,20010430
4/1/01,20010529
5/1/01,20010702
6/1/01,20010731
7/1/01,20010830
8/1/01,20011001
9/1/01,20011101
10/1/01,20011203
11/1/01,20011221
12/1/01,20020131
1/1/02,20020301
2/1/02,20020329
3/1/02,20020429
4/1/02,20020528
5/1/02,20020628
6/1/02,20020802
7/1/02,20020830
8/1/02,20020930
9/1/02,20021101
10/1/02,20021127
11/1/02,20021223
12/1/02,20030131
1/1/03,20030303
2/1/03,20030328
3/1/03,20030428
4/1/03,20030530
5/1/03,20030627
6/1/03,20030801
7/1/03,20030829
8/1/03,20030929
9/1/03,20031031
10/1/03,20031126
11/1/03,20031223
12/1/03,20040105
1/1/04,20040202
2/1/04,20040301
3/1/04,20040326
4/1/04,20040430
5/1/04,20040528
6/1/04,20040628
7/1/04,20040803
8/1/04,20040830
9/1/04,20040930
10/1/04,20041101
11/1/04,20041201
12/1/04,20041223
1/1/05,20050131
2/1/05,20050228
3/1/05,20050331
4/1/05,20050429
5/1/05,20050527
6/1/05,20050630
7/1/05,20050802
8/1/05,20050901
9/1/05,20050930
10/1/05,20051031
11/1/05,20051201
12/1/05,20051222
1/1/06,20060130
2/1/06,20060301
3/1/06,20060331
4/1/06,20060501
5/1/06,20060526
6/1/06,20060630
7/1/06,20060801
8/1/06,20060831
9/1/06,20060929
10/1/06,20061030
11/1/06,20061130
12/1/06,20061222
1/1/07,20070201
2/1/07,20070301
3/1/07,20070330
4/1/07,20070430
5/1/07,20070601
6/1/07,20070629
7/1/07,20070731
8/1/07,20070831
9/1/07,20070928
10/1/07,20071101
11/1/07,20071130
12/1/07,20071221
1/1/08,20080131
2/1/08,20080229
3/1/08,20080328
4/1/08,20080501
5/1/08,20080530
6/1/08,20080627
7/1/08,20080804
8/1/08,20080829
9/1/08,20080929
10/1/08,20081031
11/1/08,20081126
12/1/08,20081224
1/1/09,20090202
2/1/09,20090302
3/1/09,20090327
4/1/09,20090430
5/1/09,20090601
6/1/09,20090626
7/1/09,20090804
8/1/09,20090828
9/1/09,20091001
10/1/09,20091030
11/1/09,20091125
12/1/09,20091223
1/1/10,20100201
2/1/10,20100301
3/1/10,20100329
4/1/10,20100503
5/1/10,20100528
6/1/10,20100628
7/1/10,20100803
8/1/10,20100830
9/1/10,20101001
10/1/10,20101101
11/1/10,20101124
12/1/10,20101223
1/1/11,20110131
2/1/11,20110228
3/1/11,20110328
4/1/11,20110429
5/1/11,20110527
6/1/11,20110627
7/1/11,20110802
8/1/11,20110829
9/1/11,20110930
10/1/11,20111028
11/1/11,20111123
12/1/11,20111223
1/1/12,20120130
2/1/12,20120301
3/1/12,20120330
4/1/12,20120430
5/1/12,20120601
6/1/12,20120629
7/1/12,20120731
8/1/12,20120830
9/1/12,20120928
10/1/12,20121029
11/1/12,20121130
12/1/12,20121221
1/1/13,20130131
2/1/13,20130301
3/1/13,20130329
4/1/13,20130429
5/1/13,20130531
6/1/13,20130627
7/1/13,20130802
8/1/13,20130830
9/1/13,20130927
10/1/13,20131108
11/1/13,20131206
12/1/13,20131223
1/1/14,20140131
2/1/14,20140303
3/1/14,20140328
4/1/14,20140501
5/1/14,20140530
6/1/14,20140626
7/1/14,20140801
8/1/14,20140829
9/1/14,20140929
10/1/14,20141031
11/1/14,20141126
12/1/14,20141223
1/1/15,20150202
2/1/15,20150302
3/1/15,20150330
4/1/15,20150430
